2025-08-20 16:59:09,068 - INFO - Starting SHODes Framework
2025-08-20 16:59:09,068 - INFO - Generated data for mecpot
2025-08-20 16:59:09,198 - INFO - Saved Data to data/mecpot_data.csv
2025-08-20 16:59:09,219 - INFO - Generated data for genpot1
2025-08-20 16:59:09,281 - INFO - Saved Data to data/genpot1_data.csv
2025-08-20 16:59:09,297 - INFO - Generated data for genpot2
2025-08-20 16:59:09,385 - INFO - Saved Data to data/genpot2_data.csv
2025-08-20 16:59:09,402 - INFO - Generated data for genpot3
2025-08-20 16:59:09,453 - INFO - Saved Data to data/genpot3_data.csv
2025-08-20 17:11:38,097 - INFO - Starting SHODes Framework
2025-08-20 17:11:38,097 - INFO - Generated data for mecpot
2025-08-20 17:11:38,166 - INFO - Saved Data to data/mecpot_data.csv
2025-08-20 17:11:38,185 - INFO - Generated data for genpot1
2025-08-20 17:11:38,250 - INFO - Saved Data to data/genpot1_data.csv
2025-08-20 17:11:38,267 - INFO - Generated data for genpot2
2025-08-20 17:11:38,332 - INFO - Saved Data to data/genpot2_data.csv
2025-08-20 17:11:38,348 - INFO - Generated data for genpot3
2025-08-20 17:11:38,411 - INFO - Saved Data to data/genpot3_data.csv
2025-08-20 17:11:41,874 - INFO - Training PINNs for mecpot
2025-08-20 17:11:42,374 - WARNING - Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
2025-08-20 17:11:42,418 - WARNING - Calling GradientTape.gradient on a persistent tape inside its context is significantly less efficient than calling it outside the context (it causes the gradient ops to be recorded on the tape, leading to increased CPU and memory usage). Only call GradientTape.gradient inside the context if you actually want to trace the gradient in order to compute higher order derivatives.
2025-08-20 17:11:42,564 - INFO - mecpot PINN1, Epoch 0, Loss: 1.0166
2025-08-20 17:11:52,899 - INFO - mecpot PINN1, Epoch 100, Loss: 0.0075
2025-08-20 17:12:03,256 - INFO - mecpot PINN1, Epoch 200, Loss: 0.0073
2025-08-20 17:12:13,557 - INFO - mecpot PINN1, Epoch 300, Loss: 0.0071
2025-08-20 17:12:23,915 - INFO - mecpot PINN1, Epoch 400, Loss: 0.0066
2025-08-20 17:12:34,115 - INFO - mecpot PINN1, Epoch 500, Loss: 0.0056
2025-08-20 17:12:44,302 - INFO - mecpot PINN1, Epoch 600, Loss: 0.0044
2025-08-20 17:12:54,474 - INFO - mecpot PINN1, Epoch 700, Loss: 0.0042
2025-08-20 17:13:04,580 - INFO - mecpot PINN1, Epoch 800, Loss: 0.0042
2025-08-20 17:13:14,690 - INFO - mecpot PINN1, Epoch 900, Loss: 0.0041
2025-08-20 17:13:24,806 - INFO - mecpot PINN1, Epoch 1000, Loss: 0.0041
2025-08-20 17:13:34,898 - INFO - mecpot PINN1, Epoch 1100, Loss: 0.0041
2025-08-20 17:13:44,971 - INFO - mecpot PINN1, Epoch 1200, Loss: 0.0041
2025-08-20 17:13:55,037 - INFO - mecpot PINN1, Epoch 1300, Loss: 0.0041
2025-08-20 17:14:05,145 - INFO - mecpot PINN1, Epoch 1400, Loss: 0.0041
2025-08-20 17:14:15,147 - INFO - Saved PINN 1 for mecpot
2025-08-20 17:14:15,269 - INFO - mecpot PINN2, Epoch 0, Loss: 0.4509
2025-08-20 17:14:25,411 - INFO - mecpot PINN2, Epoch 100, Loss: 0.0051
2025-08-20 17:14:35,485 - INFO - mecpot PINN2, Epoch 200, Loss: 0.0047
